sample	VP1_type	reference	fragments	mean_depth	breadth_1x	breadth_5x
WW_only_filtered	GII.1	GROUP_GII_1|GII.1|MW305705|rep1	205	11.15	0.169776	0.169776
WW_only_filtered	GII.1	GROUP_GII_1|GII.1|OR397781|rep2	0	0.00	0.000000	0.000000
WW_only_filtered	GII.2	GROUP_GII_2|GII.2|MG746013|rep1	3469	229.91	0.744629	0.744629
WW_only_filtered	GII.3	GROUP_GII_3|GII.3|LC122751	364	37.94	0.613843	0.456588
WW_only_filtered	GII.3	GROUP_GII_3|GII.3|OP205585|rep2	0	0.00	0.000000	0.000000
WW_only_filtered	GII.4	GROUP_GII_4|GII.4|KM258129|rep1	1605	168.06	0.518792	0.365373
WW_only_filtered	GII.4	GROUP_GII_4|GII.4|PZ478196|rep2	19170	1813.55	1.000000	1.000000
WW_only_filtered	GII.5	GROUP_GII_5|GII.5|MZ265142|rep1	90	11.27	0.287123	0.274800
WW_only_filtered	GII.6	GROUP_GII_6|GII.6|LC373450|rep1	139	13.03	0.351582	0.351582
WW_only_filtered	GII.6	GROUP_GII_6|GII.6|PQ740335|rep2	0	0.00	0.000000	0.000000
WW_only_filtered	GII.7	GROUP_GII_7|GII.7|LC877024|rep1	820	80.51	1.000000	0.977203
WW_only_filtered	GII.8	GROUP_GII_8|GII.8|MW661257|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.9	GROUP_GII_9|GII.9|MZ312111|rep1	751	69.80	0.462825	0.436183
WW_only_filtered	GII.10	GROUP_GII_10|GII.10|OP609644|rep1	1	0.02	0.024287	0.000000
WW_only_filtered	GII.11	GROUP_GII_11|GII.11|PV769083|rep1	105	1.47	0.014599	0.014599
WW_only_filtered	GII.12	GROUP_GII_12|GII.12|GQ845370|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.13	GROUP_GII_13|GII.13|MW305678|rep1	54	5.23	0.381829	0.196440
WW_only_filtered	GII.14	GROUP_GII_14|GII.14|LC122881|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.16	GROUP_GII_16|GII.16|PV394762|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.17	GROUP_GII_17|GII.17|LC939687|rep1	16	0.52	0.032656	0.032656
WW_only_filtered	GII.17	GROUP_GII_17|GII.17|PX470709|rep2	995	108.58	0.988841	0.988841
WW_only_filtered	GII.18	GROUP_GII_18|GII.18|PV806863|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.20	GROUP_GII_20|GII.20|OP729310|rep1	1	0.01	0.011772	0.000000
WW_only_filtered	GII.21	GROUP_GII_21|GII.21|KX079488|rep1	18	0.21	0.023413	0.011707
WW_only_filtered	GII.22	GROUP_GII_22|GII.22|MG495082|rep1	402	4.69	0.014145	0.012915
WW_only_filtered	GII.23	GROUP_GII_23|GII.23|KY496328|rep1	2	0.02	0.024510	0.000000
WW_only_filtered	GII.24	GROUP_GII_24|GII.24|MG495081|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.25	GROUP_GII_25|GII.25|MG495083|rep1	10	0.12	0.012300	0.012300
WW_only_filtered	GII.26	GROUP_GII_26|GII.26|MF352142|rep1	0	0.00	0.000000	0.000000
WW_only_filtered	GII.27	GROUP_GII_27|GII.27|MK733205|rep1	0	0.00	0.000000	0.000000
WW_SMV_1_100_filtered	GII.1	GROUP_GII_1|GII.1|MW305705|rep1	784	29.61	0.628731	0.420398
WW_SMV_1_100_filtered	GII.1	GROUP_GII_1|GII.1|OR397781|rep2	12	0.60	0.329595	0.038006
WW_SMV_1_100_filtered	GII.2	GROUP_GII_2|GII.2|MG746013|rep1	102499	9182.31	1.000000	1.000000
WW_SMV_1_100_filtered	GII.3	GROUP_GII_3|GII.3|LC122751	404	24.26	0.846995	0.753491
WW_SMV_1_100_filtered	GII.3	GROUP_GII_3|GII.3|OP205585|rep2	0	0.00	0.000000	0.000000
WW_SMV_1_100_filtered	GII.4	GROUP_GII_4|GII.4|KM258129|rep1	713	68.89	0.814541	0.718423
