name	VP1_type
EU794905	GIII.2
EU794906	GIII.2
FJ946859	GIII.2
KX189070	GIII.2
KX189071	GIII.2
AB985418	GVIII.1
NC_044046	GVIII.1
KJ196291	GVIII.1
MG572715	GNA2.1
MG572716	GNA2.1
KY486328	GVI.1
OQ848746	GVI.1
PZ043823	GVI.1
PZ043822	GVI.1
PZ043825	GVI.1
FJ875027	GVI.1
MW662289	GVI.1
JF939046	GVI.1
MW939576	GVI.1
MW945229	GVI.1
JF930689	GVI.2
GQ443611	GVI.2
KY486329	GVI.2
PV418616	GVI.2
PV418617	GVI.2
PV418615	GVI.2
PV418613	GVI.2
PV418614	GVI.2
KT245136	GVI.2
MN897757	GVI.2
MN897759	GVI.2
MN908340	GVI.2
MN897758	GVI.2
MN897760	GVI.2
MK067295	GVI.2
MK067296	GVI.2
MK067297	GVI.2
NC_044855	GIV.NA1
KX907728	GIV.NA1
LC101824	GIV.1
JQ970479	GIV.1
FM865412	GIV.1
KT030674	GIV.1
NC_029647	GIV.1
JQ613567	GIV.1
MK726262	GIV.1
KC894731	GIV.1
MT232232	GIV.1
MN912824	GIV.2
MK067288	GIV.2
MK067290	GIV.2
MK067291	GIV.2
MT256407	GIV.2
MT256405	GIV.2
MT256406	GIV.2
ON595846	GIV.2
NC_045762	GIV.2
JF781268	GIV.2
MT256410	GIV.2
LC389583	GIV.2
PZ043824	GIV.2
PZ043826	GIV.2
ON595847	GIV.2
MT256409	GIV.2
MT256404	GIV.2
MT256408	GIV.2
PQ182552	GII.6
KY510434	GIX.1
MW261798	GIX.1
MW261799	GIX.1
LC048991	GIX.1
NC_044045	GIX.1
KJ196290	GIX.1
MW261787	GIX.1
MW261791	GIX.1
MW261796	GIX.1
MW261800	GIX.1
MW261788	GIX.1
MW261797	GIX.1
MW261789	GIX.1
MW261790	GIX.1
MW261792	GIX.1
MW261795	GIX.1
MW261793	GIX.1
MW261794	GIX.1
GQ856474	GIX.1
MK762723	GIX.1
OP811331	GIX.1
MN227775	GIX.1
KU954108	GIX.1
MT010298	GIX.1
MT010299	GIX.1
PQ740278	GIX.1
MN227770	GIX.1
LC567100	GIX.1
MN227776	GIX.1
MW228040	GIX.1
MT707683	GIX.1
MH202748	GIX.1
MN473468	GIX.1
MN462922	GIX.1
MN227771	GIX.1
MN227774	GIX.1
MT703831	GIX.1
PQ626688	GIX.1
OR050583	GIX.1
OR050584	GIX.1
OR050585	GIX.1
OR050582	GIX.1
OR050586	GIX.1
MN227777	GIX.1
MN227772	GIX.1
MN227773	GIX.1
OK247589	GIX.1
OK247590	GIX.1
OL685301	GIX.1
OL685295	GIX.1
OL685294	GIX.1
OL685298	GIX.1
OL685297	GIX.1
OL685296	GIX.1
OL685302	GIX.1
OL685293	GIX.1
OL685299	GIX.1
OL685300	GIX.1
OL685303	GIX.1
OL685304	GIX.1
MG572714	GII.6
OL757872	GVII.1
PV418618	GVII.1
FJ692501	GVII.1
NC_044047	GVII.1
FJ692500	GVII.1
MF373609	GII.4
OP930878	GX.1
KJ790198	GX.1
PQ678005	GV.1
PV605297	GV.1
MW174170	GV.2
JQ408737	GV.1
JQ408738	GV.1
JN975491	GV.1
JN975492	GV.1
EU004676	GV.1
EU854589	GV.1
JX048594	GV.1
MW018367	GV.1
FJ446719	GV.1
JF320653	GV.1
EU004664	GV.1
EU004671	GV.1
EU004663	GV.1
EU004670	GV.1
EU004668	GV.1
EU004669	GV.1
EU004666	GV.1
EU004667	GV.1
EU004665	GV.1
EU004680	GV.1
EU004678	GV.1
EU004679	GV.1
KY009908	GV.1
EU004677	GV.1
JF320652	GV.1
MT358379	GV.1
KX987840	GV.1
EU004674	GV.1
EU004672	GV.1
EU004675	GV.1
JF320650	GV.1
JF320651	GV.1
JF320648	GV.1
JF320649	GV.1
JF320647	GV.1
JF320644	GV.1
JF320646	GV.1
JF320645	GV.1
EU004681	GV.1
EU004682	GV.1
EU004660	GV.1
EU004658	GV.1
EU004659	GV.1
EU004662	GV.1
EU004657	GV.1
EU004661	GV.1
EU004656	GV.1
EU004654	GV.1
EU004655	GV.1
EU004683	GV.1
KF113526	GV.1
KF113527	GV.1
KR349276	GV.1
FJ446720	GV.1
MF326938	GV.1
EU004673	GV.1
AB435514	GV.1
AB435515	GV.1
PP550060	GV.1
PP550070	GV.1
PP550065	GV.1
PP550083	GV.1
PP550063	GV.1
PP550084	GV.1
PP550090	GV.1
PP550086	GV.1
PP550073	GV.1
PP550067	GV.1
PP550085	GV.1
OK032546	GIII.2
MK159170	GIII.2
MK159171	GIII.2
MK159169	GIII.2
MK159174	GIII.2
MK159173	GIII.2
MK159172	GIII.2
KX189067	GIII.2
KX189069	GIII.2
OM991740	GIII.2
OM991839	GIII.2
PV053516	GIII.2
KP987888	GNA1.1
AB684698	GI.3
MK762573	GI.8
GQ856462	GI.8
KC473548	GI.8
GU299761	GI.8
AB684671	GI.9
HQ637267	GI.9
GU296356	GI.9
JN183159	GI.9
MH702262	GI.9
MN494949	GI.7
JN183160	GI.7
JN183161	GI.7
OP162336	GI.7
MG557651	GI.7
LC646335	GI.7
OR065043	GI.7
MT357899	GI.7
MT357897	GI.7
MT357898	GI.7
MW305486	GI.7
KU311161	GI.7
MG557649	GI.7
MZ215727	GI.7
JN899243	GI.7
JN005886	GI.7
LC122720	GI.7
LC122721	GI.7
AB758449	GI.7
LC122722	GI.7
KX907729	GI.7
LC122723	GI.7
MN494975	GI.7
OM892923	GI.7
MT008459	GI.7
LC646334	GI.7
OR648469	GI.3
GQ856473	GI.3
MN494953	GI.3
MW305507	GI.3
PX720643	GI.3
MT008457	GI.3
MN494922	GI.3
MN494928	GI.3
KT781411	GI.3
MW305506	GI.3
LC122713	GI.3
ON033826	GI.3
PX986548	GI.3
PX986545	GI.3
PX986553	GI.3
PX986556	GI.3
PX986557	GI.3
PX986552	GI.3
PX986558	GI.3
PX986542	GI.3
PX986543	GI.3
PX986559	GI.3
PX986540	GI.3
PX986550	GI.3
PX986544	GI.3
PX986554	GI.3
PX986539	GI.3
PX986549	GI.3
PX986541	GI.3
PX986555	GI.3
PX986551	GI.3
PX986547	GI.3
PX986546	GI.3
LC769710	GI.3
LC769711	GI.3
LC769690	GI.3
PP663093	GI.3
LC769687	GI.3
MZ021645	GI.3
LC848163	GI.3
LC848164	GI.3
PP584624	GI.3
PQ582089	GI.3
PP564824	GI.3
PX986560	GI.3
PX986561	GI.3
MZ021649	GI.3
MZ021660	GI.3
MZ021661	GI.3
MN922742	GI.3
MZ021642	GI.3
MN922741	GI.3
MZ021646	GI.3
MZ021910	GI.3
MZ021651	GI.3
PQ632217	GI.3
PQ632216	GI.3
JN699047	GI.3
MZ203488	GI.3
JQ911594	GI.3
GQ856471	GI.3
GQ856472	GI.3
MN922705	GI.3
MN494972	GI.3
MN494979	GI.3
MN494985	GI.3
MN494987	GI.3
MN525232	GI.3
MN495009	GI.3
MN494982	GI.3
MN494944	GI.3
MN494990	GI.3
MN494946	GI.3
MN494999	GI.3
MN494994	GI.3
MN922729	GI.3
MZ021644	GI.3
MN922733	GI.3
MN922693	GI.3
MN922694	GI.3
MN922679	GI.3
MN922676	GI.3
MN494996	GI.3
MZ021619	GI.3
MN922719	GI.3
OR792774	GI.3
MN922726	GI.3
MN922680	GI.3
MZ021633	GI.3
MZ021908	GI.3
MZ021608	GI.3
MN922735	GI.3
MZ021632	GI.3
MZ021628	GI.3
MN922728	GI.3
MN922732	GI.3
MN922725	GI.3
MN922730	GI.3
MN494983	GI.3
MN922701	GI.3
MN922675	GI.3
MN922740	GI.3
MN494988	GI.3
MN494942	GI.3
MN922684	GI.3
MN922685	GI.3
MN494947	GI.3
MN495001	GI.3
MN495007	GI.3
MN495013	GI.3
MN495017	GI.3
MZ021604	GI.3
MZ021605	GI.3
MZ021609	GI.3
MZ021907	GI.3
MZ021611	GI.3
MZ021613	GI.3
MN922737	GI.3
MN922731	GI.3
MZ021621	GI.3
MZ021637	GI.3
MZ021647	GI.3
MZ021643	GI.3
MN922734	GI.3
MN922736	GI.3
MN922723	GI.3
MN922724	GI.3
MN922722	GI.3
MN922720	GI.3
MN922727	GI.3
MN922739	GI.3
PV839786	GI.3
PP594195	GI.3
MT031988	GI.3
MH608286	GI.3
MG557650	GI.3
FJ711163	GI.3
FJ711164	GI.3
JQ743330	GI.3
KJ194510	GI.3
MW305489	GI.3
MW305509	GI.3
MW305510	GI.3
MW305490	GI.3
KP064096	GI.3
NC_039897	GI.3
KJ196292	GI.3
LC122718	GI.3
MN448477	GI.3
LC122719	GI.3
MT089579	GI.3
MT089578	GI.3
MT089580	GI.3
LC378985	GI.3
MH218647	GI.3
MH218727	GI.3
PZ176369	GI.3
MK789654	GI.3
OP162337	GI.3
MH218726	GI.3
MH218724	GI.3
MH218725	GI.3
MH218728	GI.3
LC378984	GI.3
MN922650	GI.3
MN922653	GI.3
MN922690	GI.3
MW305500	GI.3
MW600279	GI.3
MW590348	GI.3
MW590347	GI.3
MW600284	GI.3
MN922649	GI.3
MN922667	GI.3
LC720154	GI.3
LC720156	GI.3
LC720153	GI.3
MN922654	GI.3
MN922655	GI.3
MN922656	GI.3
MN922652	GI.3
MN922657	GI.3
MN922718	GI.3
MN922678	GI.3
MN922662	GI.3
MN922664	GI.3
MN922663	GI.3
MN922665	GI.3
MN922666	GI.3
MN922691	GI.3
MN922677	GI.3
MN922687	GI.3
MN922668	GI.3
MN922707	GI.3
MN922695	GI.3
MN922692	GI.3
MN922706	GI.3
MN922659	GI.3
MN922681	GI.3
MN922686	GI.3
MN922674	GI.3
MN922696	GI.3
MN922688	GI.3
MN922697	GI.3
MN922669	GI.3
MN922671	GI.3
MN922673	GI.3
MN922670	GI.3
MN922672	GI.3
MN922712	GI.3
MN922710	GI.3
MN922699	GI.3
MN922711	GI.3
MN922703	GI.3
MN922689	GI.3
MW305491	GI.3
JN699050	GI.3
JN699048	GI.3
MW305493	GI.3
MW305492	GI.3
JN699049	GI.3
MW445537	GI.3
OR084254	GI.3
MZ021615	GI.3
MZ021641	GI.3
MZ021636	GI.3
MZ021640	GI.3
MH218723	GI.3
MH218721	GI.3
MT372466	GI.3
MT372467	GI.3
MT526277	GI.3
MT526276	GI.3
MT451991	GI.3
MZ462929	GI.3
MZ462932	GI.3
MZ462930	GI.3
MZ462931	GI.3
OP162334	GI.3
MK073887	GI.3
MK073892	GI.3
MK073893	GI.3
MT008455	GI.3
MN922682	GI.3
MN922683	GI.3
MN494998	GI.3
MZ021614	GI.3
MN495006	GI.3
OR084255	GI.3
OR792775	GI.3
MN922709	GI.3
MN922713	GI.3
MN922714	GI.3
MN494945	GI.3
MN495010	GI.3
MN922721	GI.3
MN922738	GI.3
MZ021603	GI.3
MZ021631	GI.3
MN495016	GI.3
MZ021610	GI.3
MZ021612	GI.3
MZ021627	GI.3
MZ021626	GI.3
KM289169	GI.3
MW305494	GI.3
MW305495	GI.3
JN183164	GI.3
JN603244	GI.3
GQ856470	GI.3
LC122714	GI.3
MN494955	GI.3
MN494956	GI.3
MT372468	GI.3
MT372463	GI.3
MT372470	GI.3
MW558948	GI.3
MN494916	GI.3
MN494918	GI.3
LC720155	GI.3
