group	medoid_accession	VP1_type	group_tree_tips	full_genome_candidates	medoid_genome_length	mean_patristic_distance
GII_1	MW305705	GII.1	90	55	7463	0.07775887640449443
GII_2	MG746013	GII.2	519	260	7536	0.04198158301158303
GII_3	LC122751	GII.3	671	326	7547	0.07822779104477617
GII_4	KM258129	GII.4	1745	861	7560	0.08554745412844017
GII_5	MZ265142	GII.5	49	22	7540	0.023400625000000105
GII_6	LC373450	GII.6	381	189	7527	0.2006059210526314
GII_7	LC877024	GII.7	172	90	7483	0.04196842105263161
GII_8	MW661257	GII.8	141	18	7558	0.026003428571428573
GII_9	MZ312111	GII.9	30	5	7544	0.06424413793103446
GII_10	OP609644	GII.10	8	6	7543	0.033520000000000036
GII_11	PV769083	GII.11	18	10	7431	0.15085117647058824
GII_12	GQ845370	GII.12	75	57	7523	0.06232391891891893
GII_13	MW305678	GII.13	99	42	7423	0.025196530612244993
GII_14	LC122881	GII.14	143	96	7515	0.03844211267605633
GII_16	PV394762	GII.16	18	15	7485	0.07190764705882338
GII_17	LC939687	GII.17	609	274	7525	0.07429537828947376
GII_18	PV806863	GII.18	9	2	7346	0.1504374999999998
GII_20	OP729310	GII.20	10	6	7245	0.07514222222222221
GII_21	KX079488	GII.21	82	11	7510	0.0196011111111111
GII_22	MG495082	GII.22	2	1	7139	0.1244300000000004
GII_23	KY496328	GII.23	7	6	7263	0.04878000000000015
GII_24	MG495081	GII.24	5	5	7241	0.009595000000000072
GII_25	MG495083	GII.25	7	1	7200	0.03246500000000004
GII_26	MF352142	GII.26	18	7	7497	0.03468352941176458
GII_27	MK733205	GII.27	7	7	7308	0.09177000000000009
